state,x,y
Alba,-88.0,3.0
Arad,-183.0,10.0
Arges,-12.0,-70.0
Bacau,79.0,17.0
Bihor,-147.0,65.0
Bistrita-Nasaud,-40.0,84.0
Botosani,75.0,137.0
Braila,122.0,-72.0
Brasov,5.0,-25.0
Bucuresti,51.0,-124.0
Buzau,78.0,-66.0
Calarasi,87.0,-133.0
Caras-Severin,-171.0,-80.0
Cluj,-85.0,45.0
Constanta,154.0,-131.0
Covasna,33.0,-13.0
Dambovita,23.0,-91.0
Dolj,-86.0,-151.0
Galati,130.0,-20.0
Giurgiu,40.0,-145.0
Gorj,-99.0,-78.0
Harghita,20.0,30.0
Hunedoara,-114.0,-27.0
Ialomita,88.0,-107.0
Iasi,105.0,90.0
Ilfov,51.0,-106.0
Maramures,-65.0,115.0
Mehedinti,-130.0,-100.0
Mures,-33.0,31.0
Neamt,48.0,60.0
Olt,-31.0,-132.0
Prahova,47.0,-71.0
Salaj,-110.0,76.0
Satu Mare,-119.0,108.0
Sibiu,-54.0,-21.0
Suceava,18.0,109.0
Teleorman,-2.0,-152.0
Timis,-216.0,-24.0
Tulcea,167.0,-78.0
Valcea,-53.0,-76.0
Vaslui,130.0,24.0
Vrancea,98.0,-28.0
